Factual/False,content string
False,fact check doctors are not encouraged by hospitals and ama to overcount covid19 deaths lead stories via
False,if we stopped testing right now wed have very few cases if any trump object permanence is a 9 month old developmental milestone that involves a babys understanding that when things disappear from view they dont cease to exist
False,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna via
False,on coronavirus testing if we stopped testing right now wed have very few cases if any
False,free horses 52 thoroughbred horses need homes will go to sugarcreek this sat for slaughter gentleman died due to covid19 and his son wants nothing to do with them most broodmares are broke and some are in foal weanling yearlings 2 yrs and 3 yrs old most are gelded
False,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna
False,first volunteer in uk coronavirus vaccine trial has died
False,a facebook meme falsely claims a colorado bill is removing exemptions for parents who dont want to vaccinate their children in order to attend school the bill adds new optout requirements but does offer medical and nonmedical exemptions
False,trump joe biden and the democrats want to prosecute americans for going to church but not for burning a church
False,joe biden and the democrats want to prosecute americans for going to church but not for burning a church
False,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna
False,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna
False,trump on coronavirus testing if we stopped testing right now wed have very few cases if any via
False,cannabis may stop coronavirus from infecting people study finds
False,david icke bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna
False,cdc does not recommend healthy wear mask surgeongeneral masks not useful drfauci we should not be wearing masks masks can kill some people noevidencewhatsoever socialdistancing or wearing masks does any good
False,yall president said if we stopped testing right now wed have very few cases if any
False,when he says weve tested more than every country combined or fired inspector general michael atkinson brought a terrible inaccurate whistleblower report to congress or ive always felt it was a pandemic long before it was called a pandemic
False,gretchen why are you just so inept to do your job follow the science right well the cdc does not recommend wearing masks because they do nothing did you hear me nothing you can actually get fungal bacteria pneumonia from them dunce cap for u
False,is clueless hes linking covid19 rise to testing if we stopped testing right now wed have very few cases if any duh
False,100 unsupported falsehoods by a petty juvinile girly whiner weve tested more than every country combined testing increases every day of course more ppl positive at 30 million done 500k a day its actually phenomenal youre campaigning for so clearly deceitful
False,blinking rt covid19 if you dont test you dont have any cases if we stopped testing right now wed have very few cases if any quote donaldtrump
False,he is on fire tonight joe biden and the democrats want to prosecute americans for going to church but not for burning a church trump
False,president donald trump said thursday he has seen evidence suggesting the novel coronavirus originated in a virology lab in wuhan china his dirni richard grenell issued a statement stating there was broad agreement the virus was not manmade or genetically modified
False,cannabis may stop coronavirus from infecting people study finds
False,sooo the warm weather is pretty much upon us that means mosquitoes arent far behind has anyone asked the question can mosquitoes transfer covid19 from person to person sooo like were all gonna die right 2020 whooot
False,theres mourning in america today more than 60000 americans have died from a deadly virus donald trump ignored with the economy in shambles more than 26 million americans are out of work the worst economies in decades trump bailed out wall street but not main street
False,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna
False,if you look at the one hydroxychloroquine survey the only bad survey they were giving it to people that were in very bad shape they were very old almost dead the drug had done more harm than good
False,corona virus claims a black belt chuck norris dead at 80 carlos ray chuck norris famous actor and fighter died yesterday afternoon at his home in northwood hills tx at the age of 80 chuck starred in dozens of movies and tv series which have and continue to
False,how can we have testing kits prepared for a disease that didnt exist under obama the obama administrations plan would have urged the manufacturing of tests much earlier than trump did he always claims weve tested more than every country combined that is a lie
False,illinois senate majority leader kimberly lightford called the novel coronavirus manmade but research on the genetic features of the virus shows it was not created or manipulated in a lab
False,if you dont test you dont have any cases if we stopped testing right now wed have very few cases if any yes really said that and if i didnt check my bank statement i would not know how much money i had cant make this stuff up
False,how stupid is he just because we would stop testing doesnt mean it would miraculously go away lowiqtrump trump on coronavirus testing if we stopped testing right now wed have very few cases if any
False,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna via
False,an image shared on social media claims vaccines are dangerous because they contain potassium chloride the chemical used to stop the heart in lethal injections this claim is misleading fakenews vaccineswork antivaxxers antivax
False,trump on coronavirus testing if we stopped testing right now wed have very few cases if any via
False,another false claim by trump says on may 3 in fox news virtual town hall joe biden has written a letter of apology for calling trumps travel restrictions from china xenophobic cc
False,rudy giuliani why did the us nih in 2017 give 37m to the wuhan lab in china such grants were prohibited in 2014 did pres obama grant an exception rated false by politifact via factstream
False,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna via
False,trump bailed out wall street but not main street that is an outright unequivocal lie the rest is arguably true though
False,saw 2 teens riding bikes with masks onthis is dangerous cdc does not recommend healthy wear mask surgeongeneral masks not useful drfauci we should not be wearing masks masks can kill some people
False,i bet you didnt know dr fauci sat on microsofts board of directors and that bill gates was his boss
False,barack obama is the first expresident to ever speak against his successor which was long tradition of decorum and decency should anyone really be surprised by the way where was this lying crumb born puppet foreign student hmmmm
False,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna
False,much research would need to be done before i submitted to this bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna
False,if we stopped testing right now wed have very few cases if any
False,dr anthony fauci has known for 15 years that chloroquine and hydroxychloroquine will not only treat a current case of coronavirus but prevent future cases
False,an image shared on social media claims vaccines are dangerous because they contain potassium chloride the chemical used to stop the heart in lethal injections this claim is misleading fakenews vaccineswork antivaxxers antivax
False,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna vaccine liberation army my body my choice my body is the temple of the holy spirit
False,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna
False,add this to the long list of idiocracies if we stopped testing right now wed have very few cases if any derp trumpdeathtroll125k trumpisnotwell
False,bloggers says nancy pelosi tried once again to include abortion funding in the latest coronavirus bill rated mostly false by politifact via factstream
False,the lincoln projects antitrump ad said that trump bailed out wall street but not main street several metrics indicate that lots of very small businesses have been getting tens of billions of dollars in coronavirus relief funding
False,alert wake up to this reality bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna
False,an article circulating on facebook claims that microsoft cofounder bill gates said a covid19 vaccine could kill almost one million people citing an interview he gave this claim is false fakenews covid19 coronavirus vaccines
False,i bet you didnt know dr fauci sat on microsofts board of directors and that bill gates was his boss now did ya
False,graphics shared thousands of times on social media claim to show the exact probability of covid19 carriers spreading the disease if they or another person wears a mask the claim is misleading fakenews coronavirus covid19 coronavirusfacts
False,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna via
False,cdc does not currently recommend wearing face masks in public seriously people get your heads out of your butts masksdonthelp maskssuck muzzles confusion stopthebullshit nothealthy greenmedinfo repeat
False,can you catch coronavirus in a swimming pooland does chlorine kill the virus
False,there you go if we stopped testing right now wed have very few cases if any actually said by donald trump hes said it repeatedly as well
False,omg i gave you 5 off the top of my head and you choose to make excuses for every single one of them during a round table discussion 61520 if we stopped testing right now wed have very few cases if any bold face lie
False,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna via
False,joe biden and the democrats want to prosecute americans for going to church but not for burning a church
False,a facebook post said if masks prevent coronavirus governors would have given them to prison inmates instead of releasing them masks do help contain covid19 and cdc is recommending them for jails and prisons
False,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna hafmay 18 2020 now this is so much worse than hydroxychloroquine how many americans r going to take this vaccine
False,trump bailed out wall street but not main street we are weaker sicker and poorer
False,this is so dangerous altering genetic codes of humans whats the connection between wuhan bill gates foundation bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna
False,vaccines are in direct violation of the nuremberg code forced coerced and mandated vaccination are in violation of these principals
False,saw 2 teens riding bikes today with masks onthis is dangerous cdc does not recommend healthy wear mask surgeongeneral masks not useful drfauci we should not be wearing masks masks can kill some people
False,fyi attached a warning label on the lincoln project mourning in america ad citing politifact article it contains partially false information the article says a line in the ad trump bailed out wall street but not main street is false
False,if we stopped testing right now wed have very few cases if any no shit sherlock
False,donald trump and his fake af maga2020 stated on april 27 2020 in comments made during a white house briefing weve tested more than every country combined fakenews from impotus45 false liar liar pants on fire
False,italian parliament calls for the arrest of bill gates
False,cannabis may stop coronavirus from infecting people study finds this could be a gamechanger not only for returning to our precovid19 lives but for the global marijuana legalization movement too
False,can you catch coronavirus in a swimming pooland does chlorine kill the virus h
False,new if you dont test you dont have any cases trump said at a june 15 roundtable discussion at the white house if we stopped testing right now wed have very few cases if any healthcheck
False,cdc does not recommend healthy wear mask surgeongeneral masks not useful drfauci we should not be wearing masks masks can kill some people absolutely noevidencewhatsoever socialdistancing or wearing masks does any good
False,an article circulating on facebook claims that microsoft cofounder bill gates said a covid19 vaccine could kill almost one million people citing an interview he gave this claim is false fakenews covid19
False,cdc does not recommend healthy wear mask surgeongeneral masks not useful drfauci we should not be wearing masks masks can kill some people
False,cdc does not recommend healthy wear mask surgeongeneral masks not useful drfauci we should not be wearing masks masks can kill some people
False,trump says joe biden has written a letter of apology for calling trumps travel restrictions from china xenophobic
False,im just gonna leave this right here cannabis may stop coronavirus from infecting people study finds
False,president trump is breathtakingly dumb quote if we stopped testing right now wed have very few cases if any in other words if we stop the testing the virus will go away littlechiefbunkerbitch trumpisnotwell
False,cdc does not recommend healthy wear mask surgeongeneral masks not useful drfauci we should not be wearing masks masks can kill some people neurologist masks impair oxygen intake u
False,false donald trump stated on april 27 2020 in comments made during a white house briefing weve tested more than every country combined
False,weve tested more than every country combined false anyone can get tested falsewe inherited broken tests false plus youve had 35 years to fix it shall i continue
False,contrary to claims in viral social media posts the novel coronavirus was not manmade nor patented before outbreak via
False,trump bailed out wall street but not main street rememberinnovember
False,your message if we stopped testing right now wed have very few cases if any yeah way to get all sciencey and stuff shitgibbon
False,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna via
False,on this day 2020 trump said if we stopped testing right now wed have very few cases if any
False,weve tested more than every country combined nope through april 28 the united states had conducted 59 million tests according to worldometer the next five countries russia germany italy spain and united arab emirates had conducted 10 million tests as of that date
False,if you dont test you dont have any cases if we stopped testing right now wed have very few cases if any youre right mr president we wouldnt have any cases similarly to how if people stopped recording the police wed have 0 cases of police brutality check yourself sir
False,democrat govs like carney are milking this pandemic people should not be wearing face masks even the cdc does not recommend them for healthy people
False,that ad is hilarious btw it says trump bailed out wall street but not main street the tax cut was literally the main policy nevertrump conservatives widely praised and backed
False,saw 2 teens riding bikes today with masks onthis is dangerous cdc does not recommend healthy wear mask surgeongeneral masks not useful drfauci we should not be wearing masks masks can kill some people
